Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,Block,synonym.1,answer,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source.1,reference-term-code.1,reference-term-relationship.1,reference-term-source.2,reference-term-code.2,reference-term-relationship.2,reference-term-source.3,reference-term-code.3,reference-term-relationship.3,reference-term-source.4,reference-term-code.4,reference-term-relationship.4,reference-term-source.5,reference-term-code.5,reference-term-relationship.5,reference-term-source.6,reference-term-code.6,reference-term-relationship.6
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Thada Asana 1,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Thada Asana 2,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Thrikona Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Ujjayee,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Anuloma-viloma,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Rachaka-Kumbhaka,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Suryabhedana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Bhastrika,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Gulpha namana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Gulpha chakrasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Paschimothanasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Padmasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Gomukh Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Bhekasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Makarasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Prasruthahastha Padhasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Vipareethakarani,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Shavasana-1,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Shavasana-2,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Vajra Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Prasruthahastha Padhasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Padmasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Gomukh Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Reviewer,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5 Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Misc,Block,,,,,,"Thada Asana 1,Thada Asana 2,Thrikona Asana,Ujjayee,Anuloma-viloma,Rachaka-Kumbhaka,Suryabhedana,Bhastrika,Gulpha namana,Gulpha chakrasana,Paschimothanasana,Padmasana,Gomukh Asana,Bhekasana,Makarasana,Prasruthahastha Padhasana,Vipareethakarani,Shavasana-1,Shavasana-2,Vajra Asana,Prasruthahastha Padhasana,Padmasana,Gomukh Asana,Reviewer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exercises,Balancing Over heels and heel raising two are different concepts,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exercises,Standing Hip flexion,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exercises,Side Walking,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exercises,Pelvic exercises,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Chest Pain,Misc,Coded,,,,,,,Cardiac chest pain,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,159361,SAME-AS,SNOMED,426396005,SAME-AS,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Feeling Tensed,Misc,Coded,,,,,,,Feeling Tense,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,140468,SAME-AS,SNOMED,263897001,SAME-AS,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Blurred Vision,Misc,Coded,,,,,,,Blurred Vision,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,1887,SAME-AS,CIEL,147104,SAME-AS,SNOMED,111516008,SAME-AS,SNOMED NP,246636008,BROADER-THAN,CIEL,160939,SAME-AS,,,
Check for Hyperventilation symptoms during and after yoga,Dizziness,Misc,Coded,,,,,,,Dizziness and Giddiness,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,141830,SAME-AS,SNOMED,271789005,SAME-AS,CIEL,141830,NARROWER-THAN,SNOMED NP,387603000,NARROWER-THAN,,,,,,
Check for Hyperventilation symptoms during and after yoga,Fast or deep Breathing,"Finding, Diagnosis",Coded,,,,,,,,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,142887,SAME-AS,SNOMED,289123006,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Shortness of breath?,Misc,Coded,,,,,,,,"Before,After,Before as well as after",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Difficulty in breathing,Test,Coded,,,,,,,,"Before,After,Before as well as after",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Cramps in Hands,Diagnosis,Coded,,,,,,,cramping of hands,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,155795,SAME-AS,SNOMED,250082003,SAME-AS,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga, cold hands and feet,Diagnosis,Coded,,,,,,,Cold hands,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,144618,SAME-AS,SNOMED,271584002,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Tightness around mouth?,Misc,Coded,,,,,,,,"Before,After,Before as well as after",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Palpitation on chest,Misc,Coded,,,,,,,Palpitations,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,130987,SAME-AS,SNOMED,80313002,SAME-AS,CIEL,130987,NARROWER-THAN,ICD-10-WHO,R00.2,SAME-AS,,,,,,
Check for Hyperventilation symptoms during and after yoga,Anxiety,Diagnosis,Coded,,,,,,,Anxiety State,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,121537,SAME-AS,SNOMED,198288003,SAME-AS,ICD-10-WHO,F41.9,SAME-AS,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Frequent Burping,Diagnosis,Coded,,,,,,,Burping,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,146621,SAME-AS,SNOMED,271834000,SAME-AS,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Frequent Yawning,Diagnosis,Coded,,,,,,,Yawning,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,122767,SAME-AS,SNOMED,248626009,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Tightness across Chest,Misc,Coded,,,,,,,Chest tightness,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,909,SAME-AS,SNOMED,23924001,SAME-AS,CIEL,705,SAME-AS,ICD-10-WHO,R07.3,NARROWER-THAN,,,,,,
Check for Hyperventilation symptoms during and after yoga,Bloated Sensation in stomach,Misc,Coded,,,,,,,Abdominal Bloating,Abdominal Bloating,,,,,,,,,,,,CIEL,150919,SAME-AS,SNOMED,116289008,SAME-AS,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Excessive Sweating,Diagnosis,Coded,,,,,,,Excessive Sweating,"Before,After,Before as well as after",,,,,,,,,,,,CIEL,140941,SAME-AS,SNOMED NP,140941,NARROWER-THAN,CIEL,140941,NARROWER-THAN,ICD-10-WHO,R61.9,SAME-AS,,,,,,
Check for Hyperventilation symptoms during and after yoga,Notes,Anatomy,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Name of oil used for IMLD,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Affected-Limb,Misc,Coded,,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Inguinal nodal drainage,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Popliteal nodal drainage,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Unmardhana,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Udhwarthana,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Coordination of breathing during IMLD,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Gulfa Padaabynga,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Drying the oil between folds and toes,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Training the Bystander for IMLD,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Quantity of oil used,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Manual Lymph Drainage,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Any other activities,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Reviewer,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Describe compression therapy plan for each day,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6 Activities Of Manual Lymph Drainage Therapist,Affected Limb to be drained,Misc,Coded,,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7 Describe the compression therapy plan for each day,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toe compression,Stretch Bandage,Misc,Coded,,,,,,,,"Good,Not good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toe compression,Long stretch bandage,Misc,Coded,,,,,,,,"Good,Not good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression material used,Top grip,Misc,Coded,,,,,,,,"TG 15 cm,TG 10 cm,TG 8 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression material used,Short stretch bandage,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wrapping the affected limb,Misc,Coded,,,,,,,,"Cotton Cloth,Top C net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould for Dekinking at folds,Sponge Moulds,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould for Dekinking at folds,Cholky bag,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould for Dekinking at folds,Sandwich Mould,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCR Mould,Shape,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCR Mould,Placement this is not clear,Misc,Text,,,,,,,,"Foot Mould,R Mould,L Mould",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position for bandaging,Bhekasana,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position for bandaging,Straight leg raising,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position for bandaging,Lying down,Finding,Boolean,,,,,,recumbent,recumbent,,,,,,,,,,,,,CIEL,159633,SAME-AS,SNOMED,102538003,SAME-AS,CIEL,159629,SAME-AS,,,,,,,,,
Position for bandaging,Standing,Finding,Boolean,,,,,,standing,standing,,,,,,,,,,,,,CIEL,159632,SAME-AS,SNOMED,159632,SAME-AS,CIEL,159633,SAME-AS,,,,,,,,,
Position for bandaging,Any other position,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toe circulation testing Test for blood circulation in toes,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Changing of sponge moulds,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Educating toe compression,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Educating compression bandaging,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Educating  Sponge cutting,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cross check for drying of oil between toes & folds,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of compression provider,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.8 Activities for compression provider,Misc,Block,,,,,,"Toe compression,Compression material used,Wrapping the limb,Mould for Dekinking at folds,MCR Mould,Position for bandaging,Toe Circulation testing,Changing of sponge moulds,Educating toe compression,Educating compression bandaging,Educating Sponge cutting,Cross check for drying of oil between toes & folds,Name of compression provider",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part 5. Treatment Section,Misc,Block,,,,,,"5.1 Activities of Multipurpose Health Worker,5.2 Phanta preparation,5.3 Activities for yoga therapist,5.4 Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),5.5 Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Additional Exercises,Check for Hyperventilation symptoms during and after yoga,5.6 Activities Of Manual Lymph Drainage Therapist,5.7 Describe the compression therapy plan for each day,5.8 Activities for compression provider",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,BEP/treatment demo,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,Hair and nail parrying demo,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,Treatment procedure in sequence (FGD),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,ADLA care demo / class,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,Yoga sequence discussion,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,Skin care demo / class,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,Preperation of phanta demo,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,Deminstration of methods of disinfection method demo / class,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,Deminstration of methods of washing compression bandages demo,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 1 Education on treatment,Approver approved by?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,List the entry points,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,List the entry points and its treatments,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADLA care items,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At baseline list,Misc,Block,,,,,,List the entry point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At discharge list,Misc,Block,,,,,,"List the entry point and treatment,ADLA care items",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.2 Ask the patient to list the following,Misc,Block,,,,,,"At baseline list,At discharge list",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education table,Workshop Topic,Misc,Text,,,,,,,Topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education table,Date conducted,Question,Text,,,,,,,Date of event,,,,,,,,,,,,,CIEL,160753,SAME-AS,SNOMED,439771001,,,,,,,,,,,,,
Patient Education table,Workshop name,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.3 Patient Education classes,Misc,Block,,,,,,Patient Education table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Patient Education workshops,Misc,Block,,,,,,"6. 1 Education on treatment,6.2 Ask the patient to list the following,6.3 Patient Education class",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,Overall/General Comments by whom?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,Is there any need to change from routine protocol?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,Skin wash?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,Phanta?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,IMLD1?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,IMLD2?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,Compression Therapy?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,Yoga Exercise?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Impression of Integrative Medical Team,Any other impression,Finding,Boolean,,,,,,,Clinical impression comment,,,,,,,,,,,,,CIEL,159395,SAME-AS,SNOMED MVP,1.59E+15,SAME-AS,SNOMED NP,39154008,NARROWER-THAN,CIEL,159395,NARROWER-THAN,,,,,,
7. Impression of Integrative Medical Team,Approver,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observation & Discussion table,Observation,Misc,Text,,,,,,,MEDICAL RECORD OBSERVATIONS,,,,,,,,,,,,,CIEL,1238,SAME-AS,SNOMED,312853008,SAME-AS,CIEL,159801,SAME-AS,AMPATH,1238,SAME-AS,,,,,,
Observation & Discussion table,Treatment,Misc,Text,,,,,,,planned treatment interruption,,,,,,,,,,,,,CIEL,1252,,,,,,,,,,,,,,,,
Observation & Discussion table,Examiner,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Observation & Discussion,Misc,Coded,,,,,,,,Observation & Discussion table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limb Status,Misc,Coded,,,,,,,,"Right Lower limb,Left Lower limb,Bilateral Lower limb,Right Upper limb,Left Upper limb,Bilateral Upper limb,Genital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment type,Misc,Coded,,,,,,,,"Baseline,7th day,At Discharge,FU 1,FU 2,FU 3,FU 4,FU 5,FU 6,FU 7,FU 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scores obtained,Misc,Text,,,,,,,,,,,,,,,,,,,,,2770,,,,,,,,,,,,,,,,
,Percentage,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asanas,Misc,Block,,,,,,"Limb Status,Assessment type,Thada Asana 1,Thada Asana 2,Thrikona Asana,Ujjayee,Anuloma-viloma,Rachaka-Kumbhaka,Suryabhedana,Bhastrika,Gulpha namana,Gulpha chakrasana,Paschimothanasana,Padmasana,Gomukh Asana,Bhekasana,Makarasana,Prasruthahastha Padhasana,Vipareethakarani,Shavasana-1,Shavasana-2,Vajra Asana,Prasruthahastha Padhasana,Padmasana,Gomukh Asana,Reviewer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Thada Asana 1 - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Thada Asana 2 - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Thrikona Asana - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Ujjayee - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Anuloma-viloma - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Rachaka-Kumbhaka - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Suryabhedana - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Bhastrika - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Swasthika Asana - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana-compliance,Vajra Asana - compliance,Misc,Coded,,,,,,,,"0 - Not adviced,1 - Not able to do yoga exercise,2 - Practicing alternative yoga posture with breathing coordination,3. Sthithi order and breathing coordination not proper,4a. Patient is practicing yoga but Sthithi order is proper but breathing coordination not proper,4b. Patient is practicing yoga but breathing,4c breathing and sthithi is proper movement coordination not proper,5 sthithi breathing and movement coordination is proper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
